date,return
2023-01-02,0.002163
2023-01-03,-0.006734
2023-01-04,-0.005363
2023-01-05,-0.030718
2023-01-06,0.022296
2023-01-09,0.014102
2023-01-10,-0.004268
2023-01-11,0.009473
2023-01-12,0.003315
2023-01-13,-0.007123
2023-01-16,0.012020
2023-01-17,-0.004082
2023-01-18,-0.004310
2023-01-19,-0.010102
2023-01-20,0.005487
2023-01-23,-0.001440
2023-01-24,0.006616
2023-01-25,-0.007790
2023-01-26,0.001385
2023-01-27,-0.011353
2023-01-30,0.010318
2023-01-31,0.002150
2023-02-01,0.003932
2023-02-02,0.004931
2023-02-03,-0.012834
2023-02-06,0.009590
2023-02-07,0.025509
2023-02-08,-0.020681
2023-02-09,-0.021818
2023-02-10,-0.019010
2023-02-13,0.010318
2023-02-14,0.001409
2023-02-15,0.013279
2023-02-16,0.008830
2023-02-17,0.002432
2023-02-20,0.003350
2023-02-21,-0.002322
2023-02-22,0.010656
2023-02-23,-0.014321
2023-02-24,-0.005473
2023-02-27,0.002837
2023-02-28,0.022318
2023-03-01,-0.009756
2023-03-02,-0.013688
2023-03-03,-0.007241
2023-03-06,0.011916
2023-03-07,-0.003138
2023-03-08,0.016354
2023-03-09,-0.023607
2023-03-10,0.013907
2023-03-13,0.012736
2023-03-14,-0.017933
2023-03-15,0.001720
2023-03-16,0.014997
2023-03-17,0.000899
2023-03-20,0.012296
2023-03-21,0.029486
2023-03-22,0.003224
2023-03-23,-0.003705
2023-03-24,-0.009838
2023-03-27,0.007901
2023-03-28,-0.002659
2023-03-29,-0.002434
2023-03-30,-0.001516
2023-03-31,0.007923
2023-04-03,-0.013529
2023-04-04,-0.019323
2023-04-05,-0.030623
2023-04-06,0.014783
2023-04-07,0.000722
2023-04-10,0.022176
2023-04-11,0.003188
2023-04-12,-0.005977
2023-04-13,0.009274
2023-04-14,0.002343
2023-04-17,-0.012377
2023-04-18,-0.007763
2023-04-19,0.025385
2023-04-20,0.007729
2023-04-21,0.008505
2023-04-24,-0.000157
2023-04-25,-0.005321
2023-04-26,0.014446
2023-04-27,0.001992
2023-04-28,-0.006189
2023-05-01,0.001623
2023-05-02,-0.008020
2023-05-03,0.005676
2023-05-04,0.017415
2023-05-05,-0.007151
2023-05-08,0.021157
2023-05-09,-0.005045
2023-05-10,0.005218
2023-05-11,-0.007155
2023-05-12,0.000522
2023-05-15,0.003893
2023-05-16,-0.002134
2023-05-17,-0.005486
2023-05-18,-0.005174
2023-05-19,-0.006964
2023-05-22,-0.016326
2023-05-23,0.000013
2023-05-24,0.008314
2023-05-25,0.014655
2023-05-26,0.011389
2023-05-29,0.034017
2023-05-30,0.007284
2023-05-31,-0.002404
2023-06-01,0.026695
2023-06-02,-0.009790
2023-06-05,0.015406
2023-06-06,-0.008639
2023-06-07,0.007726
2023-06-08,-0.021305
2023-06-09,0.014541
2023-06-12,0.001322
2023-06-13,-0.008796
2023-06-14,0.024280
2023-06-15,0.012867
2023-06-16,0.003873
2023-06-19,-0.006018
2023-06-20,0.002758
2023-06-21,0.001251
2023-06-22,0.012360
2023-06-23,0.013276
2023-06-26,-0.005047
2023-06-27,-0.003567
2023-06-28,-0.003351
2023-06-29,-0.013566
2023-06-30,-0.004095
2023-07-03,0.002145
2023-07-04,0.011937
